BayerF,Common,Parallax,Distance,Umag,Vmag,Bmag,Temp,RA_decimal,Dec_decimal,RA,Dec,Diameter_U,Diameter_V,Diameter_B,Area,Intensity Variation
χ Ophiuchi,,,,3.95,4.42,4.7,26000.0,16.45,-17.544,16h 27m 01.4s,-18° 27′ 23″,0.17,0.19,0.14,4088.324898519371,89.8712
ζ Boötis,,0.009,111.111,4.53,4.43,4.48,9500.0,14.686,13.728,14h 41m 08.9s,+13° 43′ 42″,0.49,0.47,0.46,3218.611788237674,52.568
λ Serpentis,,0.094,10.638,5.14,4.43,5.03,6000.0,15.774,7.353,15h 46m 26.6s,+07° 21′ 11″,1.23,1.06,0.97,1735.7869000642136,2.0413
α Vulpeculae,Lucida Anseris,0.014,71.429,7.75,4.44,5.94,3500.0,19.478,24.665,19h 28m 42.3s,+24° 39′ 54″,3.9,5.14,4.44,5659.89186024465,0.033
,,0.021,47.619,4.47,4.45,4.47,9500.0,18.029,1.305,18h 01m 45.2s,+01° 18′ 19″,0.5,0.46,0.46,308.8855331814269,56.0491
τ Draconis,,0.015,66.667,7.15,4.45,5.7,4700.0,19.259,73.356,19h 15m 33.0s,+73° 21′ 20″,1.22,1.94,1.51,12994.494627270968,1.4211
σ Boötis,,0.068,14.706,4.74,4.46,4.82,7200.0,14.578,29.745,14h 34m 40.8s,+29° 44′ 42″,0.86,0.72,0.68,6729.024773869504,25.0863
θ Cygni,,0.056,17.857,4.83,4.48,4.86,6900.0,19.607,50.221,19h 36m 26.5s,+50° 13′ 16″,0.93,0.77,0.74,10423.206244105912,26.6868
,,0.047,21.277,4.86,4.49,4.81,7500.0,14.953,-3.654,14h 57m 11.0s,-04° 20′ 47″,0.73,0.66,0.63,864.3680770669162,31.5747
ρ Draconis,,0.017,58.824,7.34,4.51,5.83,4550.0,20.047,67.874,20h 02m 49.1s,+67° 52′ 25″,1.28,2.07,1.6,12563.944438440565,1.3686
,,0.046,21.739,5.15,4.51,5.05,6300.0,20.756,57.58,20h 45m 21.1s,+57° 34′ 47″,1.05,0.92,0.85,11448.857486629493,15.6089
